Optimal Tours for MLIP solved instances of size: 25

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
   8   |   1   |   765     |   780     |     11/70 Hurtle Avenue, Bonython
   1   |   1   |784.89     |799.89     |     9/15 Tenison Woods Circuit, Bonython
  19   |   1   | 804.1     | 819.1     |     16 Catani Place, Monash
  22   |   1   |   825     |   840     |     17/22 Duggan Street, Calwell
   5   |   1   |   865     |   880     |     5 Puddy Street, Bonython
   4   |   1   |   900     |   915     |     17 Burgoyne Street, Bonython
  16   |   1   |   945     |   960     |     16/6 Dods Place, Greenway
  21   |   1   |  1050     |  1065     |     31/174 Clive Steele Avenue, Monash

Path for instance 11
 LocId | Prize |  Arrival  |   Leave   |     Location
  24   |   1   |   510     |   525     |     24 Edkins Street, Downer
   8   |   1   |   540     |   555     |     22a Hawdon Street, Ainslie
   9   |   1   |   570     |   585     |     6/156 Knox Street, Watson
  25   |   1   |   600     |   615     |     8/56 Ijong Street, Braddon
  22   |   1   |618.65     |633.65     |     80 Ebden Street, Ainslie
   3   |   1   |636.24     |651.24     |     146 Majura Avenue, Ainslie
  23   |   1   |653.97     |668.97     |     21a Cowper Street, Ainslie
  14   |   1   |672.13     |687.13     |     4/65 Melba Street, Downer
   5   |   1   |   705     |   720     |     5 Steele Street, Hackett
  17   |   1   |724.56     |739.56     |     45 Stockdale Street, Dickson
   2   |   1   |   750     |   765     |     171 Majura Avenue, Dickson
  15   |   1   |   780     |   795     |     17 Gardiner Street, Downer
  20   |   1   |   810     |   825     |     46a Stockdale Street, Dickson
  10   |   1   |   840     |   855     |     28 Gilruth Street, Hackett
  21   |   1   |   870     |   885     |     2 Hope Street, Dickson
  13   |   1   |898.25     |913.25     |     4a Rutherford Crescent, Ainslie
  19   |   1   |   915     |   930     |     103 Duffy Street, Ainslie

Path for instance 12
 LocId | Prize |  Arrival  |   Leave   |     Location
  13   |   1   |   570     |   585     |     26 Luehmann Street, Page
   8   |   1   |588.37     |603.37     |     19 Mayo Street, Weetangera
   9   |   1   | 606.2     | 621.2     |     28 Kinleyside Crescent, Weetangera
  18   |   1   |627.87     |642.87     |     8 Jindivik Place, Scullin
  21   |   1   |649.41     |664.41     |     Bowman Street, Macquarie, ACT
   3   |   1   |669.56     |684.56     |     7c/4 Beetaloo Street, Hawker
  12   |   1   |687.85     |702.85     |     10/9 Keith Street, Scullin
  14   |   1   |   705     |   720     |     4 Long Place, Scullin
  17   |   1   |724.66     |739.66     |     8/2 Adair Street, Scullin , ACT
   4   |   1   |744.44     |759.44     |     1 Alroy Circuit, Hawker
  25   |   1   |   765     |   780     |     25 Edwards Street, Higgins
  19   |   1   |   880     |   895     |     8/9 Lidgett Place, Florey
   7   |   1   |   900     |   915     |     71 Shumack Street, Weetangera
   2   |   1   |   945     |   960     |     9/26 Springvale Drive, Hawker
  11   |   1   |   965     |   980     |     8/46 Catchpole Street, Macquarie

Path for instance 13
 LocId | Prize |  Arrival  |   Leave   |     Location
  12   |   1   |   600     |   615     |     10 Ebenezer Street, Bonython
   5   |   1   |618.52     |633.52     |     Cynthea Teague Crescent, Greenway
   7   |   1   |633.82     |648.82     |     Oakden Street, Greenway, ACT
  11   |   1   |650.07     |665.07     |     Limburg Way, Greenway
  25   |   1   |669.23     |684.23     |     6/12 Clamp Place, Greenway
   1   |   1   |688.78     |703.78     |     14/10 Helpmann Street, Bonython
  10   |   1   |706.08     |721.08     |     Anketell Street, Greenway
  23   |   1   | 729.7     | 744.7     |     22 Abercorn Crescent, Isabella Plains
  18   |   1   | 747.4     | 762.4     |     73 Galloway Street, Isabella Plains
   8   |   1   |   765     |   780     |     11/70 Hurtle Avenue, Bonython
   2   |   1   |784.89     |799.89     |     9/15 Tenison Woods Circuit, Bonython
  19   |   1   | 804.1     | 819.1     |     16 Catani Place, Monash
  22   |   1   |   825     |   840     |     17/22 Duggan Street, Calwell
   4   |   1   |   865     |   880     |     5 Puddy Street, Bonython
   3   |   1   |   900     |   915     |     17 Burgoyne Street, Bonython
  15   |   1   |   945     |   960     |     16/6 Dods Place, Greenway
  21   |   1   |  1050     |  1065     |     31/174 Clive Steele Avenue, Monash

Path for instance 14
 LocId | Prize |  Arrival  |   Leave   |     Location
  11   |   1   |   570     |   585     |     4/4 Verdon Street, O'Connor
   5   |   1   |   600     |   615     |     2 Berrigan Crescent, O'Connor
  23   |   1   |617.12     |632.12     |     8/56 Ijong Street, Braddon
  12   |   1   |634.62     |649.62     |     4 Wedge Crescent, Turner, ACT
  17   |   1   |651.42     |666.42     |     84/10 Ipima Street, Braddon
  14   |   1   |669.69     |684.69     |     10/15-17 Majura Avenue, Dickson
   4   |   1   | 686.2     | 701.2     |     2/27 Berrigan Crescent, O'Connor
  20   |   1   |   710     |   725     |     20/123 Lowanna Street, Braddon
   3   |   1   |   735     |   750     |     7/27 Berrigan Crescent, O'Connor
  21   |   1   |   765     |   780     |     9 Banjine Street, O'Connor
  15   |   1   |783.46     |798.46     |     10/29 Forbes Street, Turner - Synergy
   2   |   1   |819.01     |834.01     |     5/15 Berrigan Crescent, O'Connor
  19   |   1   |836.44     |851.44     |     8 Lilley Street, O'Connor
  25   |   1   |   855     |   870     |     12/32 Stockdale Street, Dickson
  18   |   1   |   885     |   900     |     Murdoch Street, Lyneham
   1   |   1   |   920     |   935     |     10/15 Berrigan Crescent, O'Connor

Path for instance 15
 LocId | Prize |  Arrival  |   Leave   |     Location
   4   |   1   |   570     |   585     |     39 Alston Street, Chisholm
  21   |   1   |   600     |   615     |     15/166 Clive Steele Avenue, Monash
   2   |   1   |   630     |   645     |     47 Baskerville Street, Chisholm
   6   |   1   |   660     |   675     |     48 Fullerton Crescent, Richardson
  20   |   1   |681.08     |696.08     |     5 Matthews Place, Gowrie
  15   |   1   |700.78     |715.78     |     26 Collyburl Crescent, Isabella Plains
   1   |   1   |720.34     |735.34     |     29 Swanton Street, Chisholm
  16   |   1   |739.83     |754.83     |     22 Abercorn Crescent, Isabella Plains
  10   |   1   |   765     |   780     |     13/171 Bugden Avenue, Gowrie
  19   |   1   |783.95     |798.95     |     12 Maclean Street, Chisholm
  12   |   1   |805.09     |820.09     |     6 Wolfingham Place, Isabella Plains
  22   |   1   |823.51     |838.51     |     17/22 Duggan Street, Calwell
  23   |   1   |841.64     |856.64     |     4 Tregear Close, Theodore
   9   |   1   |865.81     |880.81     |     73 Couchman Crescent, Chisholm
   8   |   1   |   885     |   900     |     68 Twamley Crescent, Richardson
  25   |   1   |   915     |   930     |     17 Hartung Crescent, Theodore
  17   |   1   |  1060     |  1075     |     126 Sturdee Crescent, Monash

Path for instance 16
 LocId | Prize |  Arrival  |   Leave   |     Location
   5   |   1   |   540     |   555     |     13/34 Morell Close, Belconnen
  24   |   1   |   570     |   585     |     75 Belconnen Way, Weetangera
  19   |   1   |588.24     |603.24     |     33a Mcmaster Street, Scullin
  11   |   1   |607.39     |622.39     |     Ginninderra Estate, ACT
  15   |   1   |636.59     |651.59     |     11/1 Flecker Place, Florey
  16   |   1   |656.67     |671.67     |     148/41 Chandler Street, Belconnen - Altitude
   1   |   1   |   675     |   690     |     8/72 Totterdell Street, Belconnen
  25   |   1   |699.58     |714.58     |     153 William Webb Drive, Mckellar
  13   |   1   |733.65     |748.65     |     9/57 Benjamin Way, Belconnen - Oracle
   7   |   1   |   750     |   765     |     18/39 Benjamin Way, Belconnen
   8   |   1   |   765     |   780     |     42/39 Benjamin Way, Belconnen - Sentinel
