Optimal Tours for FPT solved instances of size: 25

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
   4   |   1   |739.78     |754.78     |     1 Alroy Circuit, Hawker
  25   |   1   |760.34     |775.34     |     25 Edwards Street, Higgins
  19   |   1   |   880     |   895     |     8/9 Lidgett Place, Florey
   7   |   1   |   900     |   915     |     71 Shumack Street, Weetangera
   2   |   1   |   930     |   945     |     9/26 Springvale Drive, Hawker
  11   |   1   |947.51     |962.51     |     8/46 Catchpole Street, Macquarie

Path for instance 13
 LocId | Prize |  Arrival  |   Leave   |     Location
  13   |   1   |   600     |   615     |     20/114 Athllon Drive, Greenway
  11   |   1   |617.89     |632.89     |     Limburg Way, Greenway
   7   |   1   |634.14     |649.14     |     Oakden Street, Greenway, ACT
   5   |   1   |649.38     |664.38     |     Cynthea Teague Crescent, Greenway
   1   |   1   |665.64     |680.64     |     14/10 Helpmann Street, Bonython
  16   |   1   |683.74     |698.74     |     20 Dashwood Retreat, Bonython
  20   |   1   |   703     |   718     |     26 Collyburl Crescent, Isabella Plains
  23   |   1   |   720     |   735     |     22 Abercorn Crescent, Isabella Plains
   9   |   1   |737.97     |752.97     |     6 Eggers Place, Bonython
   8   |   1   |753.58     |768.58     |     11/70 Hurtle Avenue, Bonython
   2   |   1   |   780     |   795     |     9/15 Tenison Woods Circuit, Bonython
  19   |   1   |799.21     |814.21     |     16 Catani Place, Monash
  22   |   1   |820.11     |835.11     |     17/22 Duggan Street, Calwell
   4   |   1   |   840     |   855     |     5 Puddy Street, Bonython
   3   |   1   |   900     |   915     |     17 Burgoyne Street, Bonython
  15   |   1   |918.98     |933.98     |     16/6 Dods Place, Greenway
  21   |   1   |  1050     |  1065     |     31/174 Clive Steele Avenue, Monash

Path for instance 14
 LocId | Prize |  Arrival  |   Leave   |     Location
  11   |   1   |   540     |   555     |     4/4 Verdon Street, O'Connor
  23   |   1   |   600     |   615     |     8/56 Ijong Street, Braddon
  10   |   1   |617.84     |632.84     |     40/58 Wattle Street, Lyneham
   5   |   1   |633.75     |648.75     |     2 Berrigan Crescent, O'Connor
  12   |   1   | 649.8     | 664.8     |     4 Wedge Crescent, Turner, ACT
   4   |   1   |665.88     |680.88     |     2/27 Berrigan Crescent, O'Connor
   7   |   1   |681.39     |696.39     |     102/12 David Street, Turner
  20   |   1   |698.17     |713.17     |     20/123 Lowanna Street, Braddon
   3   |   1   |   720     |   735     |     7/27 Berrigan Crescent, O'Connor
  21   |   1   |   765     |   780     |     9 Banjine Street, O'Connor
  24   |   1   |783.89     |798.89     |     35 Coolibah Crescent, O'Connor
   2   |   1   |   810     |   825     |     5/15 Berrigan Crescent, O'Connor
  19   |   1   |827.31     |842.31     |     8 Lilley Street, O'Connor
  25   |   1   |845.87     |860.87     |     12/32 Stockdale Street, Dickson
  18   |   1   |   870     |   885     |     Murdoch Street, Lyneham
   1   |   1   |   920     |   935     |     10/15 Berrigan Crescent, O'Connor

Path for instance 15
 LocId | Prize |  Arrival  |   Leave   |     Location
   4   |   1   |   570     |   585     |     39 Alston Street, Chisholm
  18   |   1   |   600     |   615     |     29 Cowdery Place, Monash
   2   |   1   |620.58     |635.58     |     47 Baskerville Street, Chisholm
   5   |   1   |   660     |   675     |     21 Chauncy Crescent, Richardson
   3   |   1   |678.22     |693.22     |     22 Kiddle Crescent, Richardson
  15   |   1   |696.25     |711.25     |     26 Collyburl Crescent, Isabella Plains
   1   |   1   |715.81     |730.81     |     29 Swanton Street, Chisholm
  16   |   1   | 735.3     | 750.3     |     22 Abercorn Crescent, Isabella Plains
   7   |   1   |754.76     |769.76     |     34 Vidal Street, Richardson
  10   |   1   |776.02     |791.02     |     13/171 Bugden Avenue, Gowrie
  12   |   1   |795.98     |810.98     |     6 Wolfingham Place, Isabella Plains
  22   |   1   | 814.4     | 829.4     |     17/22 Duggan Street, Calwell
  23   |   1   |   840     |   855     |     4 Tregear Close, Theodore
  11   |   1   |858.44     |873.44     |     23 Casey Crescent, Calwell
   9   |   1   |880.29     |895.29     |     73 Couchman Crescent, Chisholm
  25   |   1   |   915     |   930     |     17 Hartung Crescent, Theodore
  17   |   1   |  1060     |  1075     |     126 Sturdee Crescent, Monash

Path for instance 16
 LocId | Prize |  Arrival  |   Leave   |     Location
   5   |   1   |   540     |   555     |     13/34 Morell Close, Belconnen
  24   |   1   |   570     |   585     |     75 Belconnen Way, Weetangera
  19   |   1   |588.24     |603.24     |     33a Mcmaster Street, Scullin
  11   |   1   |607.39     |622.39     |     Ginninderra Estate, ACT
  12   |   1   |   630     |   645     |     Ginninderra Estate, ACT
  16   |   1   |649.66     |664.66     |     148/41 Chandler Street, Belconnen - Altitude
  23   |   1   |666.21     |681.21     |     120 Eastern Valley Way, Belconnen
  25   |   1   |   690     |   705     |     153 William Webb Drive, Mckellar
  18   |   1   |   720     |   735     |     214/41 Chandler Street, Belconnen Town Centre - Altitude
   7   |   1   |735.62     |750.62     |     18/39 Benjamin Way, Belconnen
   8   |   1   |750.62     |765.62     |     42/39 Benjamin Way, Belconnen - Sentinel
  22   |   1   |767.73     |782.73     |     Belconnen - Wayfarer
   3   |   1   |   810     |   825     |     28c/21 Beissel Street, Belconnen
   4   |   1   |   855     |   870     |     51/20 Beissel Street, Belconnen
   9   |   1   |871.84     |886.84     |     46/39 Benjamin Way, Belconnen - Sentinel
  10   |   1   |890.88     |905.88     |     8/9 Lidgett Place, Florey
   6   |   1   |   930     |   945     |     53b/9 Chandler Street, Belconnen
  20   |   1   | 947.7     | 962.7     |     8/46 Catchpole Street, Macquarie
  17   |   1   |965.79     |980.79     |     20/41 Chandler Street, Belconnen - ALTITUDE

Path for instance 17
 LocId | Prize |  Arrival  |   Leave   |     Location
   2   |   1   |   540     |   555     |     7/51 Hampton Circuit, Yarralumla
   1   |   1   |555.72     |570.72     |     9 Irwin Street, Yarralumla
  18   |   1   |573.32     |588.32     |     30 Mueller Street, Yarralumla
  19   |   1   |   600     |   615     |     19 Newman Street, Yarralumla
  14   |   1   |   630     |   645     |     22/6 Grose Street, Deakin
  10   |   1   |646.49     |661.49     |     24 Gawler Crescent, Deakin
  12   |   1   |662.57     |677.57     |     22 Bedford Street, Deakin
   4   |   1   |678.91     |693.91     |     7/47 Hampton Circuit, Yarralumla
   6   |   1   |694.01     |709.01     |     16/41 Hampton Circuit, Yarralumla
   7   |   1   |709.01     |724.01     |     17/41 Hampton Circuit, Yarralumla
   8   |   1   |   735     |   750     |     221/2 Grose Street, Deakin - The Ambassador
  20   |   1   |752.62     |767.62     |     11 Hunter Street, Yarralumla
  11   |   1   |   780     |   795     |     89 Schlich Street, Yarralumla
  16   |   1   |797.67     |812.67     |     80 Jervois Street, Deakin
   5   |   1   |   840     |   855     |     6/43 Hampton Circuit, Yarralumla
   9   |   1   |856.87     |871.87     |     115 Schlich Street, Yarralumla
  15   |   1   |   900     |   915     |     5/51 Musgrave Street, Yarralumla

Path for instance 18
 LocId | Prize |  Arrival  |   Leave   |     Location
   1   |   1   |   540     |   555     |     46/7 Medley Street, Chifley
   5   |   1   |   570     |   585     |     36/179 Melrose Drive, Lyons
  16   |   1   |   600     |   615     |     1b Chappell Street, Lyons
  24   |   1   |617.68     |632.68     |     7 Irving Street, Phillip
  23   |   1   |   645     |   660     |     56/12 Albermarle Place, Phillip, ACT
  17   |   1   |663.45     |678.45     |     23/6 Marrawah Street, Lyons
  21   |   1   |681.31     |696.31     |     129/116 Easty Street, Phillip
   2   |   1   |699.98     |714.98     |     51/17 Medley Street, Chifley
  15   |   1   |718.19     |733.19     |     127 Theodore Street, Curtin
   8   |   1   |735.83     |750.83     |     10/60 Callam Street, Phillip
   3   |   1   |753.87     |768.87     |     1 Welsh Place, Chifley
   7   |   1   |771.08     |786.08     |     5 Haswell Place, Chifley
   4   |   1   | 788.3     | 803.3     |     73/17 Medley Street, Chifley - The Hermitage
  18   |   1   |   810     |   825     |     19/21 Alsop Close, Phillip
  13   |   1   |829.41     |844.41     |     82 Macfarland Crescent, Pearce
   9   |   1   |   870     |   885     |     13 Hodgson Crescent, Pearce
  10   |   1   |   910     |   925     |     119/98 Corinna Street, Phillip
  20   |   1   |926.35     |941.35     |     119/116 Easty Street, Phillip

